vehicle_class,engine_size,cylinders,transmission,fuel_type,fuel_consumption_comb,co2_emissions
compact,1.2,3,Manual,Regular gasoline,6.4,147.0
suv - small,2.4,4,Continuously variable,Regular gasoline,8.6,198.0
suv - small,2.4,4,Continuously variable,Regular gasoline,9.1,209.0
suv - small,3.0,6,Automatic with select shift,Premium gasoline,10.2,235.0
suv - small,2.0,4,Continuously variable,Regular gasoline,8.7,200.0
suv - small,2.0,4,Manual,Regular gasoline,8.8,202.0
suv - small,2.0,4,Continuously variable,Regular gasoline,9.0,207.0
two-seater,3.7,6,Automatic with select shift,Premium gasoline,11.0,253.0
two-seater,3.7,6,Manual,Premium gasoline,11.5,264.0
two-seater,3.7,6,Automatic with select shift,Premium gasoline,11.4,262.0
two-seater,3.7,6,Manual,Premium gasoline,11.7,269.0
mid-size,2.5,4,Continuously variable,Regular gasoline,7.6,175.0
mid-size,3.5,6,Continuously variable,Regular gasoline,9.3,214.0
suv - standard,5.6,8,Automatic,Regular gasoline,16.5,380.0
pickup truck - small,2.5,4,Automatic,Regular gasoline,12.3,283.0
pickup truck - small,2.5,4,Manual,Regular gasoline,11.3,260.0
pickup truck - small,4.0,6,Automatic,Regular gasoline,12.7,292.0
pickup truck - small,4.0,6,Automatic,Regular gasoline,13.7,315.0
pickup truck - small,4.0,6,Manual,Regular gasoline,13.1,301.0
subcompact,3.8,6,Automated manual,Premium gasoline,12.9,297.0
station wagon - small,1.6,4,Continuously variable,Premium gasoline,8.1,186.0
station wagon - small,1.6,4,Manual,Premium gasoline,8.6,198.0
station wagon - small,1.6,4,Continuously variable,Premium gasoline,8.7,200.0
mid-size,3.5,6,Continuously variable,Premium gasoline,10.9,251.0
suv - small,3.5,6,Continuously variable,Regular gasoline,11.8,271.0
special purpose vehicle,2.0,4,Continuously variable,Regular gasoline,9.3,214.0
suv - small,3.5,6,Continuously variable,Regular gasoline,10.6,244.0
suv - small,3.5,6,Continuously variable,Regular gasoline,11.0,253.0
suv - standard,2.5,4,Continuously variable,Regular gasoline,8.8,202.0
minivan,3.5,6,Continuously variable,Regular gasoline,11.1,255.0
suv - small,2.5,4,Continuously variable,Regular gasoline,8.3,191.0
suv - small,2.5,4,Continuously variable,Regular gasoline,8.6,198.0
mid-size,1.8,4,Continuously variable,Regular gasoline,7.0,161.0
mid-size,1.8,4,Manual,Regular gasoline,7.8,179.0
pickup truck - standard,5.6,8,Automatic,Regular gasoline,15.6,359.0
pickup truck - standard,5.6,8,Automatic,Regular gasoline,17.3,398.0
compact,1.6,4,Continuously variable,Regular gasoline,6.6,152.0
compact,1.6,4,Manual,Regular gasoline,7.7,177.0
suv - small,4.0,6,Automatic,Regular gasoline,14.2,327.0
suv - small,4.0,6,Manual,Regular gasoline,13.7,315.0
minicompact,3.4,6,Automated manual,Premium gasoline,10.1,232.0
minicompact,3.4,6,Manual,Premium gasoline,10.7,246.0
minicompact,3.4,6,Automated manual,Premium gasoline,10.3,237.0
minicompact,3.4,6,Manual,Premium gasoline,10.7,246.0
minicompact,3.4,6,Automated manual,Premium gasoline,10.5,242.0
minicompact,3.4,6,Manual,Premium gasoline,11.0,253.0
minicompact,3.8,6,Automated manual,Premium gasoline,10.8,248.0
minicompact,3.8,6,Manual,Premium gasoline,11.0,253.0
minicompact,3.8,6,Automated manual,Premium gasoline,11.0,253.0
minicompact,3.8,6,Manual,Premium gasoline,11.2,258.0
minicompact,3.4,6,Automated manual,Premium gasoline,10.1,232.0
minicompact,3.4,6,Manual,Premium gasoline,10.7,246.0
minicompact,3.8,6,Automated manual,Premium gasoline,10.6,244.0
minicompact,3.8,6,Manual,Premium gasoline,10.8,248.0
minicompact,3.8,6,Automated manual,Premium gasoline,10.7,246.0
minicompact,3.8,6,Manual,Premium gasoline,10.9,251.0
two-seater,3.8,6,Automated manual,Premium gasoline,14.0,322.0
minicompact,3.8,6,Automated manual,Premium gasoline,11.9,274.0
minicompact,3.8,6,Automated manual,Premium gasoline,11.9,274.0
minicompact,3.8,6,Automated manual,Premium gasoline,11.9,274.0
minicompact,3.8,6,Automated manual,Premium gasoline,11.9,274.0
two-seater,2.7,6,Automated manual,Premium gasoline,9.2,212.0
two-seater,2.7,6,Manual,Premium gasoline,9.9,228.0
two-seater,3.4,6,Automated manual,Premium gasoline,9.8,225.0
two-seater,3.4,6,Manual,Premium gasoline,10.4,239.0
suv - standard,3.6,6,Automatic,Premium gasoline,12.4,290.0
suv - standard,3.6,6,Manual,Premium gasoline,13.6,313.0
suv - standard,3.0,6,Automatic,Diesel,10.2,277.0
suv - standard,4.8,8,Automatic,Premium gasoline,14.4,338.0
suv - standard,4.8,8,Automatic,Premium gasoline,13.2,310.0
suv - standard,3.0,6,Automatic,Premium gasoline,10.9,251.0
suv - standard,4.8,8,Automatic,Premium gasoline,13.9,326.0
suv - standard,4.8,8,Automatic,Premium gasoline,15.2,358.0
two-seater,2.7,6,Automated manual,Premium gasoline,9.2,212.0
two-seater,2.7,6,Manual,Premium gasoline,9.9,228.0
two-seater,3.4,6,Automated manual,Premium gasoline,9.8,225.0
two-seater,3.4,6,Manual,Premium gasoline,10.4,239.0
full-size,3.6,6,Automated manual,Premium gasoline,10.9,251.0
full-size,3.6,6,Automated manual,Premium gasoline,11.1,255.0
full-size,3.0,6,Automated manual,Premium gasoline,11.3,260.0
full-size,3.0,6,Automated manual,Premium gasoline,11.5,264.0
full-size,4.8,8,Automated manual,Premium gasoline,12.7,292.0
full-size,3.0,6,Automated manual,Premium gasoline,11.3,260.0
full-size,4.8,8,Automated manual,Premium gasoline,12.8,294.0
full-size,4.8,8,Automated manual,Premium gasoline,12.9,297.0
pickup truck - standard,5.7,8,Automatic,Regular gasoline,14.8,340.0
pickup truck - standard,5.7,8,Automatic,Regular gasoline,13.6,313.0
pickup truck - standard,5.7,8,Automatic,Regular gasoline,15.4,354.0
pickup truck - standard,5.7,8,Automatic,Regular gasoline,14.1,324.0
pickup truck - standard,3.0,6,Automatic,Diesel,10.6,286.0
pickup truck - standard,3.6,6,Automatic,Regular gasoline,12.6,290.0
pickup truck - standard,3.6,6,Automatic,Ethanol (E85),17.8,285.0
pickup truck - standard,3.0,6,Automatic,Diesel,10.2,275.0
pickup truck - standard,3.6,6,Automatic,Regular gasoline,11.9,274.0
pickup truck - standard,3.6,6,Automatic,Ethanol (E85),16.8,269.0
pickup truck - standard,3.6,6,Automatic,Regular gasoline,11.3,260.0
minivan,3.6,6,Automatic,Regular gasoline,11.4,262.0
minivan,3.6,6,Automatic,Ethanol (E85),15.9,254.0
full-size,6.5,12,Automatic,Premium gasoline,16.0,368.0
full-size,6.5,12,Automatic,Premium gasoline,16.0,368.0
full-size,6.5,12,Automatic,Premium gasoline,17.1,393.0
compact,6.5,12,Automatic,Premium gasoline,17.1,393.0
compact,6.5,12,Automatic,Premium gasoline,17.1,393.0
full-size,6.5,12,Automatic,Premium gasoline,17.1,393.0
mid-size,6.5,12,Automatic,Premium gasoline,15.6,359.0
minicompact,2.0,4,Automatic with select shift,Premium gasoline,8.4,193.0
minicompact,2.0,4,Manual,Premium gasoline,9.5,218.0
minicompact,1.3,4,Continuously variable,Regular gasoline,6.2,143.0
compact,2.5,4,Automatic with select shift,Regular gasoline,9.0,207.0
compact,2.5,4,Manual,Regular gasoline,9.0,207.0
station wagon - small,2.4,4,Automatic with select shift,Regular gasoline,9.9,228.0
station wagon - small,2.4,4,Manual,Regular gasoline,9.9,228.0
subcompact,1.8,4,Automatic,Regular gasoline,8.0,184.0
subcompact,1.8,4,Manual,Regular gasoline,7.9,182.0
two-seater,1.0,3,Automated manual,Premium gasoline,6.4,147.0
two-seater,1.0,3,Automated manual,Premium gasoline,6.4,147.0
two-seater,6.5,10,Manual,Premium gasoline,16.9,389.0
two-seater,6.5,10,Manual,Premium gasoline,16.9,389.0
minicompact,2.0,4,Automatic with select shift,Premium gasoline,8.5,196.0
minicompact,2.0,4,Manual,Premium gasoline,9.6,221.0
suv - small,2.0,4,Continuously variable,Premium gasoline,9.5,218.0
suv - small,2.5,4,Continuously variable,Regular gasoline,8.6,198.0
suv - small,2.5,4,Manual,Regular gasoline,9.7,223.0
compact,2.0,4,Continuously variable,Regular gasoline,7.8,179.0
compact,2.0,4,Manual,Regular gasoline,8.5,196.0
compact,2.5,4,Manual,Premium gasoline,11.2,258.0
compact,2.5,4,Manual,Premium gasoline,12.5,288.0
station wagon - small,2.0,4,Continuously variable,Regular gasoline,7.8,179.0
station wagon - small,2.0,4,Manual,Regular gasoline,8.5,196.0
station wagon - small,2.5,4,Manual,Premium gasoline,11.2,258.0
station wagon - small,2.5,4,Manual,Premium gasoline,12.5,288.0
mid-size,2.5,4,Continuously variable,Regular gasoline,8.6,198.0
mid-size,2.5,4,Manual,Regular gasoline,9.9,228.0
mid-size,3.6,6,Automatic with select shift,Regular gasoline,11.6,267.0
suv - small,2.5,4,Continuously variable,Regular gasoline,9.0,207.0
suv - small,2.5,4,Manual,Regular gasoline,9.8,225.0
suv - small,3.6,6,Automatic with select shift,Regular gasoline,11.7,269.0
suv - small,3.6,6,Automatic with select shift,Regular gasoline,13.1,301.0
suv - small,2.0,4,Continuously variable,Regular gasoline,8.5,196.0
suv - small,2.0,4,Manual,Regular gasoline,9.2,212.0
suv - small,2.0,4,Continuously variable,Regular gasoline,7.7,177.0
suv - standard,4.0,6,Automatic with select shift,Regular gasoline,12.9,297.0
suv - standard,4.0,6,Automatic with select shift,Regular gasoline,12.9,297.0
mid-size,3.5,6,Automatic with select shift,Regular gasoline,9.6,221.0
mid-size,2.5,4,Automatic with select shift,Regular gasoline,8.2,189.0
mid-size,3.5,6,Automatic with select shift,Regular gasoline,9.6,221.0
mid-size,2.5,4,Continuously variable,Regular gasoline,5.7,131.0
mid-size,2.5,4,Continuously variable,Regular gasoline,6.0,138.0
mid-size,1.8,4,Automatic,Regular gasoline,7.7,177.0
mid-size,1.8,4,Continuously variable,Regular gasoline,7.3,168.0
mid-size,1.8,4,Continuously variable,Regular gasoline,7.1,163.0
mid-size,1.8,4,Manual,Regular gasoline,7.4,170.0
mid-size,1.8,4,Continuously variable,Regular gasoline,6.8,156.0
mid-size,1.8,4,Continuously variable,Regular gasoline,6.9,159.0
station wagon - small,1.8,4,Automatic,Regular gasoline,8.5,196.0
station wagon - small,1.8,4,Manual,Regular gasoline,8.2,189.0
suv - small,4.0,6,Automatic,Regular gasoline,12.9,297.0
suv - small,4.0,6,Manual,Regular gasoline,13.9,320.0
suv - small,2.7,4,Automatic with select shift,Regular gasoline,10.3,237.0
suv - small,3.5,6,Automatic with select shift,Regular gasoline,11.2,258.0
suv - standard,3.5,6,Automatic with select shift,Regular gasoline,11.5,264.0
suv - standard,3.5,6,Continuously variable,Regular gasoline,8.3,191.0
suv - standard,3.5,6,Continuously variable,Regular gasoline,8.2,189.0
mid-size,1.8,4,Continuously variable,Regular gasoline,4.8,110.0
compact,1.5,4,Continuously variable,Regular gasoline,4.7,108.0
station wagon - mid-size,1.8,4,Continuously variable,Regular gasoline,5.5,126.0
suv - small,2.5,4,Automatic with select shift,Regular gasoline,8.9,205.0
suv - small,2.5,4,Automatic with select shift,Regular gasoline,9.4,216.0
suv - small,2.5,4,Automatic with select shift,Regular gasoline,9.5,218.0
suv - standard,5.7,8,Automatic with select shift,Regular gasoline,16.7,384.0
minivan,3.5,6,Automatic with select shift,Regular gasoline,11.3,260.0
minivan,3.5,6,Automatic with select shift,Regular gasoline,12.4,285.0
pickup truck - small,2.7,4,Automatic,Regular gasoline,10.9,251.0
pickup truck - small,2.7,4,Manual,Regular gasoline,10.2,235.0
pickup truck - small,4.0,6,Manual,Regular gasoline,13.1,301.0
pickup truck - small,2.7,4,Automatic,Regular gasoline,11.9,274.0
pickup truck - small,2.7,4,Manual,Regular gasoline,11.8,271.0
pickup truck - small,4.0,6,Automatic,Regular gasoline,13.3,306.0
pickup truck - small,4.0,6,Manual,Regular gasoline,14.0,322.0
pickup truck - standard,4.0,6,Automatic with select shift,Regular gasoline,13.5,310.0
pickup truck - standard,4.6,8,Automatic with select shift,Regular gasoline,14.3,329.0
pickup truck - standard,5.7,8,Automatic with select shift,Regular gasoline,15.5,356.0
pickup truck - standard,4.6,8,Automatic with select shift,Regular gasoline,15.1,347.0
pickup truck - standard,5.7,8,Automatic with select shift,Regular gasoline,16.2,373.0
suv - small,2.7,4,Automatic with select shift,Regular gasoline,10.0,230.0
suv - small,3.5,6,Automatic with select shift,Regular gasoline,11.0,253.0
suv - small,2.7,4,Automatic with select shift,Regular gasoline,10.2,235.0
suv - small,3.5,6,Automatic with select shift,Regular gasoline,11.3,260.0
compact,1.5,4,Automatic,Regular gasoline,7.3,168.0
compact,1.5,4,Manual,Regular gasoline,7.1,163.0
compact,1.8,4,Automatic,Regular gasoline,8.5,196.0
compact,1.8,4,Manual,Regular gasoline,8.7,200.0
compact,2.0,4,Automatic,Premium gasoline,9.1,209.0
compact,2.0,4,Manual,Premium gasoline,9.4,216.0
compact,2.5,5,Automatic,Regular gasoline,9.8,225.0
compact,2.5,5,Manual,Regular gasoline,9.6,221.0
compact,2.0,4,Automatic,Diesel,7.4,200.0
compact,2.0,4,Manual,Diesel,7.7,208.0
subcompact,1.8,4,Automatic,Regular gasoline,8.7,200.0
subcompact,2.0,4,Automatic,Premium gasoline,9.3,214.0
subcompact,2.0,4,Manual,Premium gasoline,9.4,216.0
subcompact,2.5,5,Automatic,Regular gasoline,10.1,232.0
compact,2.0,4,Automatic,Premium gasoline,9.7,223.0
compact,2.0,4,Manual,Premium gasoline,9.8,225.0
compact,3.6,6,Automatic,Premium gasoline,12.3,283.0
subcompact,2.0,4,Automatic,Premium gasoline,9.6,221.0
station wagon - small,2.5,5,Automatic,Regular gasoline,9.5,218.0
station wagon - small,2.5,5,Manual,Regular gasoline,9.4,216.0
station wagon - small,2.0,4,Automatic,Diesel,7.4,198.0
station wagon - small,2.0,4,Manual,Diesel,7.3,196.0
compact,1.8,4,Automatic,Regular gasoline,8.2,189.0
compact,1.8,4,Manual,Regular gasoline,8.2,189.0
compact,2.0,4,Automatic,Regular gasoline,9.4,216.0
compact,2.0,4,Manual,Regular gasoline,9.0,207.0
compact,2.0,4,Automatic,Diesel,7.4,198.0
compact,2.0,4,Manual,Diesel,7.3,196.0
compact,2.0,4,Automatic,Premium gasoline,9.0,207.0
compact,2.0,4,Manual,Premium gasoline,9.2,212.0
compact,1.4,4,Automated manual,Premium gasoline,5.4,124.0
mid-size,1.8,4,Automatic,Regular gasoline,8.6,198.0
mid-size,1.8,4,Manual,Regular gasoline,8.6,198.0
mid-size,2.5,5,Automatic,Regular gasoline,9.7,223.0
mid-size,2.5,5,Manual,Regular gasoline,9.8,225.0
mid-size,3.6,6,Automatic,Premium gasoline,10.8,248.0
mid-size,2.0,4,Automatic,Diesel,6.9,180.0
minivan,3.6,6,Automatic,Regular gasoline,12.1,278.0
suv - small,2.0,4,Automatic,Premium gasoline,10.7,246.0
suv - small,2.0,4,Manual,Premium gasoline,11.6,267.0
suv - small,2.0,4,Automatic,Premium gasoline,10.7,246.0
suv - standard,3.6,6,Automatic with select shift,Premium gasoline,12.6,296.0
suv - standard,3.0,6,Automatic with select shift,Diesel,10.2,277.0
compact,2.5,5,Automatic with select shift,Regular gasoline,9.7,223.0
compact,2.5,5,Automatic with select shift,Regular gasoline,10.1,232.0
compact,3.0,6,Automatic with select shift,Regular gasoline,11.5,264.0
mid-size,3.2,6,Automatic with select shift,Regular gasoline,10.2,235.0
mid-size,3.0,6,Automatic with select shift,Regular gasoline,11.5,264.0
suv - small,3.2,6,Automatic with select shift,Regular gasoline,11.2,258.0
suv - small,3.0,6,Automatic with select shift,Regular gasoline,11.8,271.0
suv - small,3.2,6,Automatic with select shift,Regular gasoline,11.5,264.0
suv - small,3.0,6,Automatic with select shift,Regular gasoline,11.8,271.0
suv - small,3.2,6,Automatic with select shift,Regular gasoline,11.3,260.0
suv - standard,3.2,6,Automatic with select shift,Regular gasoline,12.8,294.0
compact,2.0,4,Automatic with select shift,Premium gasoline,8.3,191.0
compact,2.4,4,Manual,Premium gasoline,9.3,214.0
compact,1.5,4,Continuously variable,Premium gasoline,6.1,140.0
suv - small,3.5,6,Automatic with select shift,Premium gasoline,11.1,255.0
mid-size,3.5,6,Automated manual,Premium gasoline,7.7,177.0
compact,2.4,4,Automated manual,Premium gasoline,8.3,191.0
compact,3.5,6,Automatic with select shift,Premium gasoline,9.2,212.0
compact,3.5,6,Automatic with select shift,Premium gasoline,9.6,221.0
subcompact,6.0,12,Automatic,Premium gasoline,14.2,327.0
two-seater,4.7,8,Manual,Premium gasoline,15.5,356.0
two-seater,4.7,8,Manual,Premium gasoline,15.5,356.0
two-seater,6.0,12,Automated manual,Premium gasoline,16.5,379.0
two-seater,4.7,8,Automated manual,Premium gasoline,14.7,338.0
two-seater,4.7,8,Manual,Premium gasoline,15.5,356.0
minicompact,6.0,12,Automatic,Premium gasoline,14.8,340.0
subcompact,1.8,4,Automated manual,Premium gasoline,8.7,200.0
subcompact,2.0,4,Automated manual,Diesel,6.5,177.0
subcompact,2.0,4,Automated manual,Premium gasoline,8.6,198.0
subcompact,2.0,4,Automated manual,Premium gasoline,8.9,205.0
compact,2.0,4,Continuously variable,Premium gasoline,8.9,205.0
compact,2.0,4,Automatic with select shift,Premium gasoline,9.6,221.0
compact,2.0,4,Manual,Premium gasoline,9.1,209.0
station wagon - small,2.0,4,Automatic with select shift,Premium gasoline,9.9,228.0
subcompact,2.0,4,Automatic with select shift,Premium gasoline,9.6,221.0
subcompact,2.0,4,Manual,Premium gasoline,9.1,209.0
subcompact,2.0,4,Automatic with select shift,Premium gasoline,9.8,225.0
mid-size,2.0,4,Automatic with select shift,Premium gasoline,10.3,237.0
mid-size,3.0,6,Automatic with select shift,Premium gasoline,11.0,253.0
mid-size,3.0,6,Automatic with select shift,Premium gasoline,10.5,242.0
mid-size,4.0,8,Automatic with select shift,Premium gasoline,10.7,246.0
full-size,3.0,6,Automatic with select shift,Premium gasoline,10.5,242.0
full-size,4.0,8,Automatic with select shift,Premium gasoline,11.0,258.0
full-size,6.3,12,Automatic with select shift,Premium gasoline,14.6,344.0
compact,2.0,4,Automatic with select shift,Premium gasoline,10.3,237.0
compact,2.0,4,Automatic with select shift,Premium gasoline,10.3,237.0
suv - small,3.0,6,Automatic with select shift,Premium gasoline,11.4,262.0
suv - small,2.0,4,Automatic with select shift,Premium gasoline,8.9,205.0
suv - standard,3.0,6,Automatic with select shift,Premium gasoline,13.3,306.0
two-seater,4.2,8,Automated manual,Premium gasoline,14.2,327.0
two-seater,4.2,8,Manual,Premium gasoline,16.6,382.0
two-seater,5.2,10,Automated manual,Premium gasoline,14.8,347.0
two-seater,5.2,10,Manual,Premium gasoline,16.4,377.0
two-seater,4.2,8,Automated manual,Premium gasoline,14.2,327.0
two-seater,4.2,8,Manual,Premium gasoline,16.6,382.0
two-seater,5.2,10,Automated manual,Premium gasoline,14.8,347.0
two-seater,5.2,10,Manual,Premium gasoline,16.4,377.0
subcompact,4.2,8,Automated manual,Premium gasoline,12.8,294.0
subcompact,4.2,8,Automated manual,Premium gasoline,12.9,297.0
mid-size,4.0,8,Automatic with select shift,Premium gasoline,13.3,313.0
subcompact,2.0,4,Automated manual,Premium gasoline,9.0,207.0
compact,3.0,6,Automated manual,Premium gasoline,11.0,253.0
compact,3.0,6,Manual,Premium gasoline,11.7,269.0
subcompact,3.0,6,Automated manual,Premium gasoline,11.0,253.0
subcompact,3.0,6,Manual,Premium gasoline,11.7,269.0
subcompact,3.0,6,Automated manual,Premium gasoline,11.4,262.0
mid-size,4.0,8,Automated manual,Premium gasoline,11.7,269.0
mid-size,4.0,8,Automated manual,Premium gasoline,11.7,269.0
mid-size,4.0,8,Automatic with select shift,Premium gasoline,11.9,281.0
suv - small,3.0,6,Automatic with select shift,Premium gasoline,12.2,281.0
subcompact,2.0,4,Automated manual,Premium gasoline,9.1,209.0
two-seater,2.0,4,Automated manual,Premium gasoline,9.2,212.0
subcompact,2.0,4,Automated manual,Premium gasoline,10.2,235.0
two-seater,2.0,4,Automated manual,Premium gasoline,10.2,235.0
compact,4.0,8,Automatic with select shift,Premium gasoline,13.1,307.0
compact,6.0,12,Automatic with select shift,Premium gasoline,15.4,354.0
subcompact,4.0,8,Automatic with select shift,Premium gasoline,14.4,337.0
subcompact,6.0,12,Automatic with select shift,Premium gasoline,16.0,368.0
two-seater,4.0,8,Automatic with select shift,Premium gasoline,14.2,327.0
mid-size,4.0,8,Automatic with select shift,Premium gasoline,14.2,334.0
mid-size,6.5,8,Automatic with select shift,Premium gasoline,18.2,419.0
subcompact,2.0,4,Automatic with select shift,Premium gasoline,8.9,205.0
subcompact,2.0,4,Automatic with select shift,Premium gasoline,8.4,193.0
subcompact,2.0,4,Manual,Premium gasoline,9.0,207.0
subcompact,2.0,4,Automatic with select shift,Premium gasoline,9.1,209.0
subcompact,2.0,4,Automatic with select shift,Premium gasoline,8.7,200.0
compact,2.0,4,Automatic with select shift,Premium gasoline,8.4,193.0
compact,2.0,4,Manual,Premium gasoline,9.0,207.0
compact,2.0,4,Automatic with select shift,Premium gasoline,8.7,200.0
compact,2.0,4,Automatic with select shift,Diesel,6.7,181.0
station wagon - small,2.0,4,Automatic with select shift,Diesel,6.7,181.0
compact,2.0,4,Automatic with select shift,Premium gasoline,8.4,193.0
compact,2.0,4,Manual,Premium gasoline,9.0,207.0
compact,2.0,4,Automatic with select shift,Premium gasoline,9.1,209.0
full-size,2.0,4,Automatic with select shift,Premium gasoline,9.1,209.0
station wagon - small,2.0,4,Automatic with select shift,Premium gasoline,9.1,209.0
compact,3.0,6,Automatic with select shift,Premium gasoline,9.6,221.0
compact,3.0,6,Manual,Premium gasoline,9.8,225.0
compact,3.0,6,Automatic with select shift,Premium gasoline,10.0,230.0
compact,3.0,6,Manual,Premium gasoline,10.3,237.0
full-size,3.0,6,Automatic with select shift,Premium gasoline,10.0,230.0
subcompact,2.0,4,Automatic with select shift,Premium gasoline,8.9,205.0
compact,2.0,4,Automatic with select shift,Premium gasoline,8.4,193.0
compact,2.0,4,Manual,Premium gasoline,9.0,207.0
compact,2.0,4,Automatic with select shift,Premium gasoline,8.9,205.0
compact,2.0,4,Manual,Premium gasoline,9.0,207.0
subcompact,2.0,4,Automatic with select shift,Premium gasoline,9.6,221.0
compact,2.0,4,Automatic with select shift,Premium gasoline,9.1,209.0
compact,2.0,4,Automatic with select shift,Premium gasoline,9.1,209.0
subcompact,3.0,6,Automatic with select shift,Premium gasoline,9.9,228.0
compact,3.0,6,Automatic with select shift,Premium gasoline,9.6,221.0
compact,3.0,6,Manual,Premium gasoline,9.8,225.0
compact,3.0,6,Automatic with select shift,Premium gasoline,9.6,221.0
subcompact,3.0,6,Automatic with select shift,Premium gasoline,10.3,237.0
compact,3.0,6,Automatic with select shift,Premium gasoline,10.0,230.0
compact,3.0,6,Manual,Premium gasoline,10.3,237.0
compact,3.0,6,Automatic with select shift,Premium gasoline,10.0,230.0
mid-size,2.0,4,Automatic with select shift,Premium gasoline,8.9,205.0
mid-size,2.0,4,Automatic with select shift,Premium gasoline,9.1,209.0
mid-size,3.0,6,Automatic with select shift,Diesel,7.9,213.0
mid-size,3.0,6,Automatic with select shift,Premium gasoline,10.3,237.0
full-size,3.0,6,Automatic with select shift,Premium gasoline,11.0,253.0
mid-size,4.4,8,Automatic with select shift,Premium gasoline,12.3,283.0
full-size,4.4,8,Automatic with select shift,Premium gasoline,12.8,294.0
subcompact,3.0,6,Automatic with select shift,Premium gasoline,10.3,237.0
compact,3.0,6,Automatic with select shift,Premium gasoline,10.3,237.0
subcompact,4.4,8,Automatic with select shift,Premium gasoline,12.8,294.0
compact,4.4,8,Automatic with select shift,Premium gasoline,12.3,283.0
compact,4.4,8,Automatic with select shift,Premium gasoline,12.8,294.0
full-size,3.0,6,Automatic with select shift,Diesel,8.8,238.0
full-size,3.0,6,Automatic with select shift,Premium gasoline,10.3,237.0
full-size,4.4,8,Automatic with select shift,Premium gasoline,12.8,294.0
full-size,4.4,8,Automatic with select shift,Premium gasoline,12.8,294.0
full-size,6.0,12,Automatic with select shift,Premium gasoline,15.5,356.0
compact,3.0,6,Automatic with select shift,Premium gasoline,8.7,200.0
mid-size,3.0,6,Automatic with select shift,Premium gasoline,9.4,216.0
full-size,3.0,6,Automatic with select shift,Premium gasoline,9.3,214.0
compact,4.4,8,Automatic with select shift,Premium gasoline,12.8,294.0
full-size,4.4,8,Automatic with select shift,Premium gasoline,12.8,294.0
full-size,4.4,8,Automatic with select shift,Premium gasoline,12.8,294.0
subcompact,3.0,6,Automatic with select shift,Premium gasoline,10.2,235.0
subcompact,3.0,6,Manual,Premium gasoline,10.8,248.0
subcompact,3.0,6,Automatic with select shift,Premium gasoline,10.2,235.0
subcompact,3.0,6,Manual,Premium gasoline,10.4,239.0
subcompact,3.0,6,Automatic with select shift,Premium gasoline,10.0,230.0
compact,3.0,6,Automated manual,Premium gasoline,12.1,278.0
compact,3.0,6,Manual,Premium gasoline,11.6,267.0
subcompact,3.0,6,Automated manual,Premium gasoline,12.1,278.0
subcompact,3.0,6,Manual,Premium gasoline,11.8,271.0
compact,3.0,6,Automated manual,Premium gasoline,12.1,278.0
compact,3.0,6,Manual,Premium gasoline,11.6,267.0
mid-size,4.4,8,Automated manual,Premium gasoline,14.7,338.0
mid-size,4.4,8,Manual,Premium gasoline,13.7,315.0
subcompact,4.4,8,Manual,Premium gasoline,13.7,315.0
compact,4.4,8,Automated manual,Premium gasoline,14.7,338.0
compact,4.4,8,Manual,Premium gasoline,13.7,315.0
compact,4.4,8,Manual,Premium gasoline,13.7,315.0
suv - small,2.0,4,Automatic with select shift,Premium gasoline,9.1,209.0
suv - small,3.0,6,Automatic with select shift,Premium gasoline,11.2,258.0
suv - small,2.0,4,Automatic with select shift,Diesel,7.9,213.0
suv - small,2.0,4,Automatic with select shift,Premium gasoline,9.9,228.0
suv - small,3.0,6,Automatic with select shift,Premium gasoline,10.9,251.0
suv - small,2.0,4,Automatic with select shift,Premium gasoline,10.2,235.0
suv - small,3.0,6,Automatic with select shift,Premium gasoline,10.9,251.0
suv - standard,4.4,8,Automatic with select shift,Premium gasoline,14.6,336.0
suv - standard,3.0,6,Automatic with select shift,Diesel,8.7,235.0
suv - standard,3.0,6,Automatic with select shift,Premium gasoline,11.1,255.0
suv - standard,4.4,8,Automatic with select shift,Premium gasoline,13.8,317.0
suv - standard,4.4,8,Automatic with select shift,Premium gasoline,14.6,336.0
suv - standard,3.0,6,Automatic with select shift,Premium gasoline,11.1,255.0
suv - standard,4.4,8,Automatic with select shift,Premium gasoline,13.8,317.0
two-seater,2.0,4,Automatic with select shift,Premium gasoline,9.1,209.0
two-seater,2.0,4,Manual,Premium gasoline,9.0,207.0
two-seater,3.0,6,Automated manual,Premium gasoline,12.1,278.0
two-seater,3.0,6,Automated manual,Premium gasoline,12.1,278.0
suv - standard,3.6,6,Automatic,Regular gasoline,12.3,283.0
mid-size,3.6,6,Automatic with select shift,Regular gasoline,11.4,262.0
mid-size,3.6,6,Automatic with select shift,Ethanol (E85),15.8,253.0
mid-size,3.6,6,Automatic with select shift,Regular gasoline,11.7,269.0
mid-size,3.6,6,Automatic with select shift,Ethanol (E85),15.9,254.0
mid-size,2.0,4,Automatic with select shift,Premium gasoline,9.8,225.0
mid-size,2.0,4,Manual,Premium gasoline,9.8,225.0
mid-size,2.0,4,Automatic with select shift,Premium gasoline,10.7,246.0
compact,2.0,4,Automatic with select shift,Premium gasoline,9.8,225.0
compact,2.0,4,Manual,Premium gasoline,9.8,225.0
compact,2.4,4,Automatic with select shift,Regular gasoline,9.4,216.0
compact,2.0,4,Automatic with select shift,Premium gasoline,9.7,223.0
